Name,Rarity,BulletType,DamageMax,DamageMid,DamageMin,Range,FireRate,MaxBounces,BulletSpeed
Cardboard,Common,Reflective,4,2,1,25,1.5,1,8
Coilshot,Common,Magnetic,3,2,1,35,1.2,0,6
Driftpulse,Common,Magnetic,3,2,1,30,2,0,5
Hammerbolt,Common,Reflective,5,3,1,40,0.8,0,9
Loadster,Uncommon,Reflective,4,2,2,55,1,0,6
Pincer,Uncommon,Reflective,4,3,2,45,2.2,1,9
Ricochet,Uncommon,Reflective,4,3,2,50,1.5,2,10
Vein,Uncommon,Magnetic,5,3,1,45,1.2,0,7
Glasswall,Rare,Reflective,8,5,2,90,0.6,2,10
Halo,Rare,Magnetic,5,3,2,55,1.6,0,7
Kinetica,Rare,Magnetic,6,4,2,60,1,0,8
Rorrim,Rare,Reflective,6,4,2,70,1.2,3,11
Scatterblast,Rare,Reflective,3,2,1,45,2.5,1,8
Seershot,Rare,Magnetic,7,4,2,65,0.7,0,5
Axiom,Epic,Reflective,7,5,3,100,0.9,5,11
Gauss,Epic,Magnetic,3,2,1,60,3.5,0,7
Magneto,Epic,Magnetic,8,6,3,75,1,0,9
Pulsar,Epic,Magnetic,9,6,3,75,0.8,0,8
Rift,Epic,Reflective,6,4,3,65,1.7,3,13
Seraph,Epic,Magnetic,7,5,4,65,1.3,0,6
Slingshot,Epic,Reflective,5,4,2,75,2,2,20
Specter,Epic,Reflective,8,5,3,80,0.8,4,13
Fracture,Legendary,Reflective,10,7.5,5,120,0.8,6,14
Voidedge,Legendary,Magnetic,12,8,5,110,0.9,0,10
